Origin_Zone,Destination_Zone,Start_Date,End_Date,Aggregation,Subscriber_Class,Purpose,Time_of_Day,Count
17,10,20150401,20150430,WD,Visitor,NHB,H00:H24,4669.46
14,11,20150401,20150430,WD,Resident,HBO,H00:H24,24426.28
11,14,20150401,20150430,WD,Resident,HBO,H00:H24,24007.62
11,34,20150401,20150430,WD,Resident,HBO,H00:H24,1526.68
34,11,20150401,20150430,WD,Resident,HBO,H00:H24,1537.66
32,24,20150401,20150430,WD,Resident,NHB,H00:H24,48.19
24,11,20150401,20150430,WD,Resident,NHB,H00:H24,1276.98
2,10,20150401,20150430,WD,Resident,HBW,H00:H24,12452.35
10,2,20150401,20150430,WD,Resident,NHB,H00:H24,17207.64
11,20,20150401,20150430,WD,Resident,HBW,H00:H24,3518.69
20,11,20150401,20150430,WD,Resident,HBW,H00:H24,2720.61
3,2,20150401,20150430,WD,Visitor,NHB,H00:H24,814.49
2,17,20150401,20150430,WD,Visitor,NHB,H00:H24,5971.69
7,16,20150401,20150430,WD,Visitor,NHB,H00:H24,1604.71
2,2,20150401,20150430,WD,Resident,NHB,H00:H24,25855.93
16,16,20150401,20150430,WD,Resident,HBO,H00:H24,58270.82
11,11,20150401,20150430,WD,Resident,HBO,H00:H24,373177.02
14,14,20150401,20150430,WD,Resident,HBO,H00:H24,50572.79
14,14,20150401,20150430,WD,Resident,NHB,H00:H24,70183.67
2,11,20150401,20150430,WD,Resident,HBO,H00:H24,7136.44
11,10,20150401,20150430,WD,Resident,NHB,H00:H24,26452.83
10,26,20150401,20150430,WD,Resident,NHB,H00:H24,691.85
26,2,20150401,20150430,WD,Resident,HBO,H00:H24,615.42
4,20,20150401,20150430,WD,Resident,HBW,H00:H24,350.56
20,4,20150401,20150430,WD,Resident,HBW,H00:H24,299.64
31,17,20150401,20150430,WD,Resident,HBO,H00:H24,2191.67
17,22,20150401,20150430,WD,Resident,HBO,H00:H24,1040.61
22,17,20150401,20150430,WD,Resident,HBW,H00:H24,689.01
17,22,20150401,20150430,WD,Resident,HBW,H00:H24,570.72
22,11,20150401,20150430,WD,Resident,HBO,H00:H24,825.82
11,9,20150401,20150430,WD,Resident,NHB,H00:H24,2469.84
9,22,20150401,20150430,WD,Resident,HBW,H00:H24,252.80
11,14,20150401,20150430,WD,Resident,NHB,H00:H24,30287.56
14,15,20150401,20150430,WD,Resident,NHB,H00:H24,19398.60
15,14,20150401,20150430,WD,Resident,NHB,H00:H24,14495.36
10,13,20150401,20150430,WD,Visitor,NHB,H00:H24,6671.41
12,11,20150401,20150430,WD,Visitor,NHB,H00:H24,3515.32
9,20,20150401,20150430,WD,Resident,HBW,H00:H24,651.61
20,9,20150401,20150430,WD,Resident,HBW,H00:H24,564.18
16,28,20150401,20150430,WD,Resident,NHB,H00:H24,73.79
11,11,20150401,20150430,WD,Visitor,NHB,H00:H24,42596.79
11,18,20150401,20150430,WD,Visitor,NHB,H00:H24,438.60
24,21,20150401,20150430,WD,Visitor,NHB,H00:H24,3322.90
16,9,20150401,20150430,WD,Resident,HBW,H00:H24,3473.01
9,16,20150401,20150430,WD,Resident,HBW,H00:H24,3016.08
13,9,20150401,20150430,WD,Resident,HBO,H00:H24,1587.30
9,17,20150401,20150430,WD,Resident,NHB,H00:H24,16612.03
17,13,20150401,20150430,WD,Resident,HBO,H00:H24,5241.32
9,17,20150401,20150430,WD,Resident,HBW,H00:H24,7222.34
17,9,20150401,20150430,WD,Resident,HBW,H00:H24,6967.32
9,9,20150401,20150430,WD,Resident,HBO,H00:H24,29476.55
14,15,20150401,20150430,WD,Visitor,NHB,H00:H24,3888.84
9,25,20150401,20150430,WD,Resident,NHB,H00:H24,590.38
25,9,20150401,20150430,WD,Resident,HBO,H00:H24,361.35
1,21,20150401,20150430,WD,Visitor,NHB,H00:H24,935.32
4,8,20150401,20150430,WD,Resident,HBW,H00:H24,1562.56
8,6,20150401,20150430,WD,Resident,NHB,H00:H24,5056.09
6,3,20150401,20150430,WD,Resident,HBO,H00:H24,2342.35
3,3,20150401,20150430,WD,Resident,HBO,H00:H24,20936.59
3,4,20150401,20150430,WD,Resident,HBO,H00:H24,8213.13
13,10,20150401,20150430,WD,Resident,HBO,H00:H24,9221.73
10,12,20150401,20150430,WD,Resident,NHB,H00:H24,4109.74
12,10,20150401,20150430,WD,Resident,NHB,H00:H24,3784.07
10,10,20150401,20150430,WD,Resident,NHB,H00:H24,86475.07
10,30,20150401,20150430,WD,Resident,NHB,H00:H24,194.62
30,12,20150401,20150430,WD,Resident,NHB,H00:H24,203.61
12,11,20150401,20150430,WD,Resident,NHB,H00:H24,17555.57
10,13,20150401,20150430,WD,Resident,HBO,H00:H24,9449.74
3,5,20150401,20150430,WD,Resident,HBW,H00:H24,3879.58
5,4,20150401,20150430,WD,Resident,NHB,H00:H24,7045.32
4,4,20150401,20150430,WD,Resident,NHB,H00:H24,14814.82
4,3,20150401,20150430,WD,Resident,HBW,H00:H24,2575.60
17,9,20150401,20150430,WD,Resident,NHB,H00:H24,17733.74
9,1,20150401,20150430,WD,Resident,HBO,H00:H24,778.79
1,9,20150401,20150430,WD,Resident,NHB,H00:H24,826.83
8,15,20150401,20150430,WD,Resident,HBO,H00:H24,2355.70
15,8,20150401,20150430,WD,Resident,HBO,H00:H24,2535.21
8,17,20150401,20150430,WD,Resident,HBO,H00:H24,2489.39
17,11,20150401,20150430,WD,Resident,NHB,H00:H24,11749.31
11,17,20150401,20150430,WD,Resident,NHB,H00:H24,9269.95
17,8,20150401,20150430,WD,Resident,HBO,H00:H24,2609.61
3,6,20150401,20150430,WD,Resident,HBO,H00:H24,2054.64
6,14,20150401,20150430,WD,Resident,NHB,H00:H24,3220.11
14,11,20150401,20150430,WD,Resident,NHB,H00:H24,36896.97
11,31,20150401,20150430,WD,Resident,NHB,H00:H24,1761.36
31,14,20150401,20150430,WD,Resident,NHB,H00:H24,1515.45
14,3,20150401,20150430,WD,Resident,HBO,H00:H24,1002.54
16,17,20150401,20150430,WD,Resident,HBO,H00:H24,14222.64
9,16,20150401,20150430,WD,Resident,HBO,H00:H24,4701.71
14,17,20150401,20150430,WD,Resident,HBO,H00:H24,6622.58
17,14,20150401,20150430,WD,Resident,NHB,H00:H24,10829.91
11,4,20150401,20150430,WD,Resident,NHB,H00:H24,952.84
4,14,20150401,20150430,WD,Resident,HBW,H00:H24,2197.34
11,11,20150401,20150430,WD,Resident,HBW,H00:H24,106365.63
16,15,20150401,20150430,WD,Resident,HBW,H00:H24,14006.24
15,15,20150401,20150430,WD,Resident,HBW,H00:H24,21064.59
5,18,20150401,20150430,WD,Resident,HBO,H00:H24,20.27
18,4,20150401,20150430,WD,Resident,NHB,H00:H24,29.34
4,5,20150401,20150430,WD,Resident,HBO,H00:H24,10067.20
5,5,20150401,20150430,WD,Resident,HBO,H00:H24,42262.58
10,2,20150401,20150430,WD,Visitor,NHB,H00:H24,38805.61
11,31,20150401,20150430,WD,Resident,HBW,H00:H24,1188.53
31,11,20150401,20150430,WD,Resident,HBW,H00:H24,1278.58
37,37,20150401,20150430,WD,Resident,HBO,H00:H24,2059.50
15,15,20150401,20150430,WD,Resident,NHB,H00:H24,75419.66
16,14,20150401,20150430,WD,Resident,NHB,H00:H24,12199.57
14,9,20150401,20150430,WD,Resident,NHB,H00:H24,3701.05
17,6,20150401,20150430,WD,Resident,NHB,H00:H24,4509.97
6,6,20150401,20150430,WD,Resident,NHB,H00:H24,34293.21
12,12,20150401,20150430,WD,Resident,HBO,H00:H24,28943.55
12,13,20150401,20150430,WD,Resident,HBO,H00:H24,4365.24
13,12,20150401,20150430,WD,Resident,HBO,H00:H24,4583.70
3,17,20150401,20150430,WD,Resident,HBO,H00:H24,936.22
17,3,20150401,20150430,WD,Resident,HBO,H00:H24,806.55
17,17,20150401,20150430,WD,Resident,NHB,H00:H24,61201.73
13,13,20150401,20150430,WD,Resident,HBO,H00:H24,21342.11
14,6,20150401,20150430,WD,Visitor,NHB,H00:H24,1458.59
11,11,20150401,20150430,WD,Resident,NHB,H00:H24,184352.44
15,17,20150401,20150430,WD,Resident,HBW,H00:H24,10413.86
17,15,20150401,20150430,WD,Resident,HBW,H00:H24,8798.00
14,14,20150401,20150430,WD,Visitor,NHB,H00:H24,35451.63
2,10,20150401,20150430,WD,Resident,NHB,H00:H24,18276.45
5,15,20150401,20150430,WD,Resident,HBO,H00:H24,2050.23
15,16,20150401,20150430,WD,Resident,NHB,H00:H24,22860.79
16,17,20150401,20150430,WD,Resident,NHB,H00:H24,17725.96
17,6,20150401,20150430,WD,Resident,HBO,H00:H24,3768.63
6,6,20150401,20150430,WD,Resident,HBO,H00:H24,55524.20
1,10,20150401,20150430,WD,Resident,HBO,H00:H24,537.94
10,20,20150401,20150430,WD,Resident,NHB,H00:H24,2443.41
20,31,20150401,20150430,WD,Resident,NHB,H00:H24,265.93
31,1,20150401,20150430,WD,Resident,HBO,H00:H24,54.76
11,14,20150401,20150430,WD,Resident,HBW,H00:H24,28090.54
15,9,20150401,20150430,WD,Resident,NHB,H00:H24,3228.45
9,6,20150401,20150430,WD,Resident,NHB,H00:H24,3352.99
10,10,20150401,20150430,WD,Visitor,NHB,H00:H24,61806.47
15,15,20150401,20150430,WD,Resident,HBO,H00:H24,126910.11
9,1,20150401,20150430,WD,Resident,NHB,H00:H24,835.83
2,2,20150401,20150430,WD,Visitor,NHB,H00:H24,98408.21
8,7,20150401,20150430,WD,Resident,HBW,H00:H24,3493.97
7,8,20150401,20150430,WD,Resident,HBW,H00:H24,3250.34
8,8,20150401,20150430,WD,Resident,HBO,H00:H24,23138.86
9,24,20150401,20150430,WD,Visitor,NHB,H00:H24,2411.58
4,15,20150401,20150430,WD,Resident,HBW,H00:H24,1376.75
16,4,20150401,20150430,WD,Resident,HBO,H00:H24,2137.31
25,30,20150401,20150430,WD,Visitor,NHB,H00:H24,93.87
30,10,20150401,20150430,WD,Visitor,NHB,H00:H24,152.24
14,16,20150401,20150430,WD,Resident,NHB,H00:H24,14452.32
16,11,20150401,20150430,WD,Resident,HBO,H00:H24,7662.80
23,23,20150401,20150430,WD,Resident,HBO,H00:H24,2497.00
3,4,20150401,20150430,WD,Visitor,NHB,H00:H24,3970.89
24,24,20150401,20150430,WD,Visitor,NHB,H00:H24,3902.42
24,17,20150401,20150430,WD,Visitor,NHB,H00:H24,4585.09
36,17,20150401,20150430,WD,Resident,HBO,H00:H24,1393.57
17,36,20150401,20150430,WD,Resident,HBO,H00:H24,1341.56
3,5,20150401,20150430,WD,Visitor,NHB,H00:H24,3462.59
5,17,20150401,20150430,WD,Visitor,NHB,H00:H24,453.28
6,7,20150401,20150430,WD,Resident,HBW,H00:H24,5820.54
7,6,20150401,20150430,WD,Resident,HBW,H00:H24,5111.05
17,17,20150401,20150430,WD,Visitor,NHB,H00:H24,17145.43
4,7,20150401,20150430,WD,Resident,HBW,H00:H24,2577.67
7,4,20150401,20150430,WD,Resident,HBW,H00:H24,2346.14
15,14,20150401,20150430,WD,Visitor,NHB,H00:H24,4181.68
14,35,20150401,20150430,WD,Resident,HBO,H00:H24,1261.30
6,15,20150401,20150430,WD,Resident,HBW,H00:H24,8170.52
14,6,20150401,20150430,WD,Resident,HBO,H00:H24,2713.65
14,25,20150401,20150430,WD,Resident,NHB,H00:H24,2663.52
25,11,20150401,20150430,WD,Resident,NHB,H00:H24,2529.02
17,17,20150401,20150430,WD,Resident,HBO,H00:H24,75770.95
17,15,20150401,20150430,WD,Resident,NHB,H00:H24,14040.66
7,15,20150401,20150430,WD,Resident,HBO,H00:H24,8387.90
15,7,20150401,20150430,WD,Resident,HBO,H00:H24,8453.96
7,14,20150401,20150430,WD,Resident,HBW,H00:H24,2654.30
14,18,20150401,20150430,WD,Resident,NHB,H00:H24,306.24
18,14,20150401,20150430,WD,Resident,NHB,H00:H24,148.25
14,7,20150401,20150430,WD,Resident,HBW,H00:H24,2207.01
6,3,20150401,20150430,WD,Resident,NHB,H00:H24,1741.12
3,6,20150401,20150430,WD,Resident,NHB,H00:H24,1658.14
17,11,20150401,20150430,WD,Resident,HBO,H00:H24,9536.60
11,17,20150401,20150430,WD,Resident,HBO,H00:H24,9682.41
17,14,20150401,20150430,WD,Resident,HBO,H00:H24,6282.78
6,7,20150401,20150430,WD,Resident,NHB,H00:H24,7838.49
7,6,20150401,20150430,WD,Resident,NHB,H00:H24,9652.70
7,17,20150401,20150430,WD,Resident,HBO,H00:H24,6406.59
17,9,20150401,20150430,WD,Resident,HBO,H00:H24,12188.03
9,7,20150401,20150430,WD,Resident,HBO,H00:H24,6459.87
17,7,20150401,20150430,WD,Resident,HBO,H00:H24,6258.89
14,12,20150401,20150430,WD,Visitor,NHB,H00:H24,1373.13
2,10,20150401,20150430,WD,Visitor,NHB,H00:H24,36070.80
2,10,20150401,20150430,WD,Resident,HBO,H00:H24,18530.98
24,2,20150401,20150430,WD,Visitor,NHB,H00:H24,29284.03
10,11,20150401,20150430,WD,Resident,HBW,H00:H24,24620.28
11,10,20150401,20150430,WD,Resident,HBW,H00:H24,26146.45
15,16,20150401,20150430,WD,Resident,HBO,H00:H24,26604.73
16,16,20150401,20150430,WD,Resident,NHB,H00:H24,38227.41
16,15,20150401,20150430,WD,Resident,HBO,H00:H24,27861.92
33,36,20150401,20150430,WD,Resident,HBO,H00:H24,287.50
36,33,20150401,20150430,WD,Resident,HBO,H00:H24,183.65
17,15,20150401,20150430,WD,Resident,HBO,H00:H24,10493.05
15,17,20150401,20150430,WD,Resident,HBO,H00:H24,10671.93
12,11,20150401,20150430,WD,Resident,HBO,H00:H24,24373.07
11,12,20150401,20150430,WD,Resident,HBO,H00:H24,24286.75
11,23,20150401,20150430,WD,Resident,HBO,H00:H24,1117.58
23,14,20150401,20150430,WD,Resident,NHB,H00:H24,708.22
14,11,20150401,20150430,WD,Resident,HBW,H00:H24,24619.23
40,16,20150401,20150430,WD,Resident,HBO,H00:H24,938.32
