Origin_Zone,Destination_Zone,Start_date,End_Date,Time_of_Day,Purpose,Subscriber_Class,Count,SZCount
14,11,20150401,20150430,H07:H10,HBO,Resident,2273.11,81.00169265
11,34,20150401,20150430,H07:H10,HBO,Resident,283.5,45.97297297
24,11,20150401,20150430,H16:H19,NHB,Resident,336.66,39.60705882
10,2,20150401,20150430,H16:H19,NHB,Resident,3715.68,83.49842697
2,17,20150401,20150430,H16:H19,NHB,Visitor,1363.58,157.3361538
31,17,20150401,20150430,H16:H19,HBO,Resident,452.07,72.06913043
22,17,20150401,20150430,H07:H10,HBW,Resident,295.65,8.695588235
11,14,20150401,20150430,H16:H19,NHB,Resident,5647.25,144.8012821
14,15,20150401,20150430,H16:H19,NHB,Resident,6975.76,1367.796078
10,13,20150401,20150430,H16:H19,NHB,Visitor,1126.75,67.15728477
9,20,20150401,20150430,H07:H10,HBW,Resident,451.8,25.67045455
20,9,20150401,20150430,H16:H19,HBW,Resident,227.68,9.486666667
9,16,20150401,20150430,H16:H19,HBW,Resident,816.45,6.5316
9,17,20150401,20150430,H16:H19,NHB,Resident,3819.45,72.63613312
17,13,20150401,20150430,H16:H19,HBO,Resident,1018.17,141.7705063
9,17,20150401,20150430,H07:H10,HBW,Resident,2316.07,11.35328431
17,9,20150401,20150430,H16:H19,HBW,Resident,1629.48,28.28958333
13,10,20150401,20150430,H07:H10,HBO,Resident,1103.03,27.06822086
10,12,20150401,20150430,H07:H10,NHB,Resident,542.87,22.30972603
12,10,20150401,20150430,H07:H10,NHB,Resident,509,7.069444444
12,11,20150401,20150430,H16:H19,NHB,Resident,4290.66,41.12453674
17,9,20150401,20150430,H16:H19,NHB,Resident,4460.84,55.07209877
8,15,20150401,20150430,H07:H10,HBO,Resident,371.45,5.714615385
15,8,20150401,20150430,H07:H10,HBO,Resident,400.39,5.975970149
11,17,20150401,20150430,H16:H19,NHB,Resident,1646.64,273.3803861
31,14,20150401,20150430,H16:H19,NHB,Resident,368.7,120.5365385
14,3,20150401,20150430,H16:H19,HBO,Resident,240.34,10.92454545
16,15,20150401,20150430,H07:H10,HBW,Resident,1765.12,19.46823529
