Origin_Zone,Destination_Zone,Start_date,End_Date,Purpose,Time_of_Day,Subscriber_Class,Count,SZCount
17,10,20150401,20150430,H00:H24,NHB,Visitor,4669.46,726.52
14,11,20150401,20150430,H00:H24,HBO,Resident,24426.28,624.68
11,14,20150401,20150430,H00:H24,HBO,Resident,24007.62,526.51
11,34,20150401,20150430,H00:H24,HBO,Resident,1526.68,144.31
34,11,20150401,20150430,H00:H24,HBO,Resident,1537.66,207.41
32,24,20150401,20150430,H00:H24,NHB,Resident,48.19,38.55
24,11,20150401,20150430,H00:H24,NHB,Resident,1276.98,161.11
2,10,20150401,20150430,H00:H24,HBW,Resident,12452.35,79.82
10,2,20150401,20150430,H00:H24,NHB,Resident,17207.64,210.23
11,20,20150401,20150430,H00:H24,HBW,Resident,3518.69,60.15
20,11,20150401,20150430,H00:H24,HBW,Resident,2720.61,113.95
3,2,20150401,20150430,H00:H24,NHB,Visitor,814.49,78.82
2,17,20150401,20150430,H00:H24,NHB,Visitor,5971.69,513.31
2,11,20150401,20150430,H00:H24,HBO,Resident,7136.44,373.67
10,26,20150401,20150430,H00:H24,NHB,Resident,691.85,37.60
26,2,20150401,20150430,H00:H24,HBO,Resident,615.42,47.87
4,20,20150401,20150430,H00:H24,HBW,Resident,350.56,10.31
31,17,20150401,20150430,H00:H24,HBO,Resident,2191.67,306.57
17,22,20150401,20150430,H00:H24,HBO,Resident,1040.61,167.11
22,17,20150401,20150430,H00:H24,HBW,Resident,689.01,41.01
17,22,20150401,20150430,H00:H24,HBW,Resident,570.72,16.79
22,11,20150401,20150430,H00:H24,HBO,Resident,825.82,84.70
11,9,20150401,20150430,H00:H24,NHB,Resident,2469.84,380.49
9,22,20150401,20150430,H00:H24,HBW,Resident,252.80,32.62
11,14,20150401,20150430,H00:H24,NHB,Resident,30287.56,948.29
14,15,20150401,20150430,H00:H24,NHB,Resident,19398.60,3370.92
15,14,20150401,20150430,H00:H24,NHB,Resident,14495.36,1927.95
10,13,20150401,20150430,H00:H24,NHB,Visitor,6671.41,295.26
12,11,20150401,20150430,H00:H24,NHB,Visitor,3515.32,26.48
9,20,20150401,20150430,H00:H24,HBW,Resident,651.61,34.82
20,9,20150401,20150430,H00:H24,HBW,Resident,564.18,9.48
16,28,20150401,20150430,H00:H24,NHB,Resident,73.79,16.40
24,21,20150401,20150430,H00:H24,NHB,Visitor,3322.90,682.69
16,9,20150401,20150430,H00:H24,HBW,Resident,3473.01,50.33
9,16,20150401,20150430,H00:H24,HBW,Resident,3016.08,25.40
13,9,20150401,20150430,H00:H24,HBO,Resident,1587.30,202.89
9,17,20150401,20150430,H00:H24,NHB,Resident,16612.03,341.51
17,13,20150401,20150430,H00:H24,HBO,Resident,5241.32,683.92
9,17,20150401,20150430,H00:H24,HBW,Resident,7222.34,51.34
17,9,20150401,20150430,H00:H24,HBW,Resident,6967.32,78.28
14,15,20150401,20150430,H00:H24,NHB,Visitor,3888.84,484.35
9,25,20150401,20150430,H00:H24,NHB,Resident,590.38,98.40
25,9,20150401,20150430,H00:H24,HBO,Resident,361.35,72.27
13,10,20150401,20150430,H00:H24,HBO,Resident,9221.73,235.39
10,12,20150401,20150430,H00:H24,NHB,Resident,4109.74,67.50
12,10,20150401,20150430,H00:H24,NHB,Resident,3784.07,36.46
10,30,20150401,20150430,H00:H24,NHB,Resident,194.62,41.28
30,12,20150401,20150430,H00:H24,NHB,Resident,203.61,7.02
12,11,20150401,20150430,H00:H24,NHB,Resident,17555.57,243.23
10,13,20150401,20150430,H00:H24,HBO,Resident,9449.74,275.90
17,9,20150401,20150430,H00:H24,NHB,Resident,17733.74,315.91
8,15,20150401,20150430,H00:H24,HBO,Resident,2355.70,48.32
15,8,20150401,20150430,H00:H24,HBO,Resident,2535.21,11.66
8,17,20150401,20150430,H00:H24,HBO,Resident,2489.39,60.72
17,11,20150401,20150430,H00:H24,NHB,Resident,11749.31,2093.31
11,17,20150401,20150430,H00:H24,NHB,Resident,9269.95,1430.26
17,8,20150401,20150430,H00:H24,HBO,Resident,2609.61,73.34
6,14,20150401,20150430,H00:H24,NHB,Resident,3220.11,486.17
14,11,20150401,20150430,H00:H24,NHB,Resident,36896.97,937.19
11,31,20150401,20150430,H00:H24,NHB,Resident,1761.36,298.08
31,14,20150401,20150430,H00:H24,NHB,Resident,1515.45,452.75
14,3,20150401,20150430,H00:H24,HBO,Resident,1002.54,104.74
16,17,20150401,20150430,H00:H24,HBO,Resident,14222.64,707.53
9,16,20150401,20150430,H00:H24,HBO,Resident,4701.71,136.89
14,17,20150401,20150430,H00:H24,HBO,Resident,6622.58,1055.77
17,14,20150401,20150430,H00:H24,NHB,Resident,10829.91,2296.31
11,4,20150401,20150430,H00:H24,NHB,Resident,952.84,87.95
4,14,20150401,20150430,H00:H24,HBW,Resident,2197.34,121.65
16,15,20150401,20150430,H00:H24,HBW,Resident,14006.24,299.42
18,4,20150401,20150430,H00:H24,NHB,Resident,29.34,14.67
10,2,20150401,20150430,H00:H24,NHB,Visitor,38805.61,632.85
11,31,20150401,20150430,H00:H24,HBW,Resident,1188.53,159.86
31,11,20150401,20150430,H00:H24,HBW,Resident,1278.58,193.51
16,14,20150401,20150430,H00:H24,NHB,Resident,12199.57,1653.75
14,9,20150401,20150430,H00:H24,NHB,Resident,3701.05,664.60
