SERPM 7.0 Transit Statistics                                

                                          ----------AM Peak---------    -----------Off-Peak-------    ------------PM Peak-------  -Daily-
                                Dist      Time      Freq                Time      Freq                Time      Freq
 Route                Mode   (Miles)     (Min)      (Min)      Pax     (Min)      (Min)      Pax      (Min)      (Min)      Pax      Pax

 M43L95PO              451     25.45     32.67      0.00         0     32.01      0.00         0     36.07    120.00        16        16
 M16L110PM             252     11.88     28.46      0.00         0     23.82      0.00         0     30.25     26.00         8         8
 M16L112PM             252     20.62     71.05      0.00         0     50.62      0.00         0     59.65    210.00         0         0
 M16L113PM             252     19.97     71.29      0.00         0     53.79      0.00         0     70.71     70.00        42        42
 M23L60MI              292      3.06     15.51      0.00         0     11.03      0.00         0     13.74     30.00       100       100
 M23L60MO              292      3.06     10.66      0.00         0     10.43      0.00         0     16.76     60.00        11        11
 M23L310MO             292      8.15     36.69      0.00         0     34.02      0.00         0     39.59     30.00       109       109
 M23L311MO             292      7.51     31.54      0.00         0     24.84      0.00         0     38.74     30.00        48        48
 M23L320MO             292     13.77     51.73      0.00         0     50.42    360.00         0     61.41     60.00        39        39
 M23L321MI             292     18.07     90.15      0.00         0     64.29    180.00        35     69.55     48.00       103       138
 M23L325MD             292      3.64     10.76      0.00         0     10.75      0.00         0     10.79     90.00         3         3
 M23L325MD   -         292      3.64      9.83      0.00         0      9.84      0.00         0      9.94     90.00        11        11
 M43L1PO               492     42.45    157.43     20.00      2006    154.08     20.00      3724    158.52     15.00      2870      8600
 M43L1PI               492     42.49    156.22     17.00      2533    154.88     20.00      3850    160.03     20.00      2409      8792
 M43L2PI               492     42.12    145.99     30.00      1404    144.05     30.00      2190    147.96     30.00      1455      5049
 M43L2PO               492     42.63    147.86     30.00      1193    146.05     30.00      2353    152.27     30.00      1577      5123
 M43L3PI               492     30.32     98.70     60.00       346     97.65     60.00       831    102.53     60.00       646      1823
 M43L3PO               492     31.14    102.98     60.00       611    100.42     60.00       757    104.52     60.00       483      1851
 M43L300PI             492     31.66    105.22     60.00       629    102.39     60.00       893    107.37     60.00       461      1983
 M43L300PO             492     32.17    106.36     60.00       417    104.43     60.00       887    111.98     60.00       694      1998
 M43L4PO               492      7.35     23.77     60.00        40     22.78     60.00        68     23.68     60.00        46       154
 M43L4PI               492      8.35     27.88     60.00        38     27.13     60.00        94     29.23     60.00        49       181
 M43L20PI              492     15.32     60.71     60.00        54     59.94     60.00       191     61.13     60.00       118       363
 M43L20PO              492     15.32     60.00     60.00        99     59.52     60.00       147     60.68     60.00        71       317
 M43L30PI              492      6.25     23.32     30.00        64     23.21     60.00        84     23.80     30.00        66       214
 M43L30PO              492      6.25     23.40     30.00        76     23.11     60.00        55     23.50     30.00        83       214
 M43L301PI             492      5.35     19.64     30.00        60     19.55     60.00        72     20.19     30.00        66       198
 M43L301PO             492      5.35     19.77     30.00        76     19.46     60.00        51     19.84     30.00        83       210
 M43L31PI              492     13.88     55.47     30.00       118     54.57     30.00       240     55.53     30.00       158       516
 M43L31PO              492     13.62     52.08     30.00       150     51.51     30.00       264     52.65     30.00       119       533
 M43L33PO              492     12.13     47.23     30.00       202     45.86     60.00       104     46.89     30.00       249       555
 M43L33PI              492     12.64     48.78     30.00       154     48.29     60.00       118     50.12     30.00       220       492
 M43L40PI              492     49.10     78.83     60.00        96     78.21     60.00       217     84.75     60.00       219       532
 M43L40PO              492     47.09     78.44     60.00       229     72.81     60.00       164     74.46     60.00       107       500
 M43L400PI             492     33.92     48.14     60.00        34     48.03     60.00        81     51.53     60.00        94       209
 M43L400PO             492     32.64     44.14     60.00        82     41.04     60.00        87     42.17     60.00        60       229
 M43L41PI              492      8.34     34.19     75.00        13     33.89     60.00       110     36.59     75.00        77       200
 M43L41PO              492      8.45     34.94     75.00        63     33.27     60.00       159     34.08     75.00        30       252
 M43L43PO              492     16.78     53.71     30.00       336     49.19     30.00       644     51.47     30.00       344      1324
 M43L43PI              492     19.55     60.19     30.00       286     59.54     30.00       661     64.01     30.00       498      1445
