route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
16135,1,3519573,1 - PERRINE,,0,1219389,134862
16135,1,3519574,1 - PERRINE,,0,1219390,134862
16135,1,3519575,1 - PERRINE,,0,1219389,134862
16135,1,3519576,1 - PERRINE,,0,1219390,134862
16135,1,3519577,1 - PERRINE,,0,1219389,134862
16135,1,3519578,1 - PERRINE,,0,1219390,134862
16135,1,3519579,1 - PERRINE,,0,1219389,134862
16135,1,3519580,1 - PERRINE,,0,1219390,134862
16135,1,3519581,1 - PERRINE,,0,1219389,134862
16135,1,3519582,1 - PERRINE,,0,1219390,134862
16135,1,3519583,1 - PERRINE,,0,1219389,134862
16135,1,3519584,1 - PERRINE,,0,1219390,134862
16135,1,3519585,1 - PERRINE,,0,1219391,134862
16135,1,3519586,1 - PERRINE,,0,1219392,134862
16135,1,3519587,1 - PERRINE,,0,1219391,134862
16135,1,3519588,1 - PERRINE,,0,1219392,134862
16135,1,3519589,1 - PERRINE,,0,1219391,134862
16135,1,3519590,1 - PERRINE,,0,1219392,134862
16135,1,3519591,1 - PERRINE,,0,1219391,134862
16135,1,3519592,1 - PERRINE,,0,1219392,134862
16135,1,3519593,1 - SOUTH MIAMI HEIGHTS,,1,1219389,134863
16135,1,3519594,1 - SOUTH MIAMI HEIGHTS,,1,1219390,134863
16135,1,3519595,1 - SOUTH MIAMI HEIGHTS,,1,1219389,134863
16135,1,3519596,1 - SOUTH MIAMI HEIGHTS,,1,1219390,134863
16135,1,3519597,1 - SOUTH MIAMI HEIGHTS,,1,1219389,134863
16135,1,3519598,1 - SOUTH MIAMI HEIGHTS,,1,1219390,134863
16135,1,3519599,1 - SOUTH MIAMI HEIGHTS,,1,1219389,134863
16135,1,3519600,1 - SOUTH MIAMI HEIGHTS,,1,1219390,134863
16135,1,3519601,1 - SOUTH MIAMI HEIGHTS,,1,1219389,134863
16135,1,3519602,1 - SOUTH MIAMI HEIGHTS,,1,1219390,134863
16135,1,3519603,1 - SOUTH MIAMI HEIGHTS,,1,1219391,134863
16135,1,3519604,1 - SOUTH MIAMI HEIGHTS,,1,1219392,134863
16135,1,3519605,1 - SOUTH MIAMI HEIGHTS,,1,1219391,134863
16135,1,3519606,1 - SOUTH MIAMI HEIGHTS,,1,1219392,134863
16135,1,3519607,1 - SOUTH MIAMI HEIGHTS,,1,1219391,134863
16135,1,3519608,1 - SOUTH MIAMI HEIGHTS,,1,1219392,134863
16135,1,3519609,1 - SOUTH MIAMI HEIGHTS,,1,1219391,134863
16135,1,3519610,1 - SOUTH MIAMI HEIGHTS,,1,1219392,134863
16136,1,3489302,2 - DOWNTOWN MIAMI,,0,1211340,134865
16136,1,3489314,2 - DOWNTOWN MIAMI,,0,1211348,134865
16136,1,3489308,2 - DOWNTOWN MIAMI,,0,1211345,134866
16136,1,3489301,2 - DOWNTOWN MIAMI,,0,1211340,134865
16136,1,3489307,2 - DOWNTOWN MIAMI,,0,1211344,134865
16136,1,3489309,2 - DOWNTOWN MIAMI,,0,1211342,134866
16136,1,3489343,2 - DOWNTOWN MIAMI,,0,1211343,134865
16136,1,3489340,2 - DOWNTOWN MIAMI,,0,1211345,134865
16136,1,3489341,2 - DOWNTOWN MIAMI,,0,1211348,134866
16136,1,3489344,2 - DOWNTOWN MIAMI,,0,1211344,134865
16136,1,3489342,2 - DOWNTOWN MIAMI,,0,1211342,134865
16133,6,3486583,DADELAND SOUTH,,0,1211252,134834
16133,6,3486582,DADELAND SOUTH,,0,1211244,134822
16133,6,3486430,DADELAND SOUTH,,0,1211236,134832
16133,6,3486429,DADELAND SOUTH,,0,1211235,134832
16133,6,3486428,DADELAND SOUTH,,0,1211234,134832
16133,6,3486432,DADELAND SOUTH,,0,1211238,134827
16133,6,3486519,DADELAND SOUTH,,0,1211241,134836
16133,6,3486512,DADELAND SOUTH,,0,1211248,134827
16133,6,3486514,DADELAND SOUTH,,0,1211247,134836
16133,6,3486431,DADELAND SOUTH,,0,1211237,134827
16133,6,3486523,DADELAND SOUTH,,0,1211253,134836
16133,6,3486511,DADELAND SOUTH,,0,1211244,134827
16133,6,3486574,DADELAND SOUTH,,0,1211254,134836
16133,6,3486510,DADELAND SOUTH,,0,1211246,134827
16133,6,3486573,DADELAND SOUTH,,0,1211239,134836
16133,6,3486509,DADELAND SOUTH,,0,1211235,134827
16133,6,3486521,DADELAND SOUTH,,0,1211252,134836
16133,6,3486508,DADELAND SOUTH,,0,1211242,134827
16133,6,3486580,DADELAND SOUTH,,0,1211256,134836
16133,6,3486507,DADELAND SOUTH,,0,1211245,134827
16133,6,3486575,DADELAND SOUTH,,0,1211236,134836
16133,6,3486506,DADELAND SOUTH,,0,1211241,134827
