GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - 16 to 19 years,Margin of Error; Total: - 16 to 19 years,Estimate; Total: - 20 to 24 years,Margin of Error; Total: - 20 to 24 years,Estimate; Total: - 25 to 44 years,Margin of Error; Total: - 25 to 44 years,Estimate; Total: - 45 to 54 years,Margin of Error; Total: - 45 to 54 years,Estimate; Total: - 55 to 59 years,Margin of Error; Total: - 55 to 59 years,Estimate; Total: - 60 to 64 years,Margin of Error; Total: - 60 to 64 years,Estimate; Total: - 65 years and over,Margin of Error; Total: - 65 years and over,"Estimate; Total: - Car, truck, or van - drove alone:","Margin of Error; Total: - Car, truck, or van - drove alone:","Estimate; Total: - Car, truck, or van - drove alone: - 16 to 19 years","Margin of Error; Total: - Car, truck, or van - drove alone: - 16 to 19 years","Estimate; Total: - Car, truck, or van - drove alone: - 20 to 24 years","Margin of Error; Total: - Car, truck, or van - drove alone: - 20 to 24 years","Estimate; Total: - Car, truck, or van - drove alone: - 25 to 44 years","Margin of Error; Total: - Car, truck, or van - drove alone: - 25 to 44 years","Estimate; Total: - Car, truck, or van - drove alone: - 45 to 54 years","Margin of Error; Total: - Car, truck, or van - drove alone: - 45 to 54 years","Estimate; Total: - Car, truck, or van - drove alone: - 55 to 59 years","Margin of Error; Total: - Car, truck, or van - drove alone: - 55 to 59 years","Estimate; Total: - Car, truck, or van - drove alone: - 60 to 64 years","Margin of Error; Total: - Car, truck, or van - drove alone: - 60 to 64 years","Estimate; Total: - Car, truck, or van - drove alone: - 65 years and over","Margin of Error; Total: - Car, truck, or van - drove alone: - 65 years and over","Estimate; Total: - Car, truck, or van - carpooled:","Margin of Error; Total: - Car, truck, or van - carpooled:","Estimate; Total: - Car, truck, or van - carpooled: - 16 to 19 years","Margin of Error; Total: - Car, truck, or van - carpooled: - 16 to 19 years","Estimate; Total: - Car, truck, or van - carpooled: - 20 to 24 years","Margin of Error; Total: - Car, truck, or van - carpooled: - 20 to 24 years","Estimate; Total: - Car, truck, or van - carpooled: - 25 to 44 years","Margin of Error; Total: - Car, truck, or van - carpooled: - 25 to 44 years","Estimate; Total: - Car, truck, or van - carpooled: - 45 to 54 years","Margin of Error; Total: - Car, truck, or van - carpooled: - 45 to 54 years","Estimate; Total: - Car, truck, or van - carpooled: - 55 to 59 years","Margin of Error; Total: - Car, truck, or van - carpooled: - 55 to 59 years","Estimate; Total: - Car, truck, or van - carpooled: - 60 to 64 years","Margin of Error; Total: - Car, truck, or van - carpooled: - 60 to 64 years","Estimate; Total: - Car, truck, or van - carpooled: - 65 years and over","Margin of Error; Total: - Car, truck, or van - carpooled: - 65 years and over",Estimate; Total: - Public transportation (excluding taxicab):,Margin of Error; Total: - Public transportation (excluding taxicab):,Estimate; Total: - Public transportation (excluding taxicab): - 16 to 19 years,Margin of Error; Total: - Public transportation (excluding taxicab): - 16 to 19 years,Estimate; Total: - Public transportation (excluding taxicab): - 20 to 24 years,Margin of Error; Total: - Public transportation (excluding taxicab): - 20 to 24 years,Estimate; Total: - Public transportation (excluding taxicab): - 25 to 44 years,Margin of Error; Total: - Public transportation (excluding taxicab): - 25 to 44 years,Estimate; Total: - Public transportation (excluding taxicab): - 45 to 54 years,Margin of Error; Total: - Public transportation (excluding taxicab): - 45 to 54 years,Estimate; Total: - Public transportation (excluding taxicab): - 55 to 59 years,Margin of Error; Total: - Public transportation (excluding taxicab): - 55 to 59 years,Estimate; Total: - Public transportation (excluding taxicab): - 60 to 64 years,Margin of Error; Total: - Public transportation (excluding taxicab): - 60 to 64 years,Estimate; Total: - Public transportation (excluding taxicab): - 65 years and over,Margin of Error; Total: - Public transportation (excluding taxicab): - 65 years and over,Estimate; Total: - Walked:,Margin of Error; Total: - Walked:,Estimate; Total: - Walked: - 16 to 19 years,Margin of Error; Total: - Walked: - 16 to 19 years,Estimate; Total: - Walked: - 20 to 24 years,Margin of Error; Total: - Walked: - 20 to 24 years,Estimate; Total: - Walked: - 25 to 44 years,Margin of Error; Total: - Walked: - 25 to 44 years,Estimate; Total: - Walked: - 45 to 54 years,Margin of Error; Total: - Walked: - 45 to 54 years,Estimate; Total: - Walked: - 55 to 59 years,Margin of Error; Total: - Walked: - 55 to 59 years,Estimate; Total: - Walked: - 60 to 64 years,Margin of Error; Total: - Walked: - 60 to 64 years,Estimate; Total: - Walked: - 65 years and over,Margin of Error; Total: - Walked: - 65 years and over,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means:","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means:","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 16 to 19 years","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 16 to 19 years","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 20 to 24 years","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 20 to 24 years","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 25 to 44 years","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 25 to 44 years","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 45 to 54 years","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 45 to 54 years","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 55 to 59 years","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 55 to 59 years","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 60 to 64 years","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 60 to 64 years","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 65 years and over","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 65 years and over",Estimate; Total: - Worked at home:,Margin of Error; Total: - Worked at home:,Estimate; Total: - Worked at home: - 16 to 19 years,Margin of Error; Total: - Worked at home: - 16 to 19 years,Estimate; Total: - Worked at home: - 20 to 24 years,Margin of Error; Total: - Worked at home: - 20 to 24 years,Estimate; Total: - Worked at home: - 25 to 44 years,Margin of Error; Total: - Worked at home: - 25 to 44 years,Estimate; Total: - Worked at home: - 45 to 54 years,Margin of Error; Total: - Worked at home: - 45 to 54 years,Estimate; Total: - Worked at home: - 55 to 59 years,Margin of Error; Total: - Worked at home: - 55 to 59 years,Estimate; Total: - Worked at home: - 60 to 64 years,Margin of Error; Total: - Worked at home: - 60 to 64 years,Estimate; Total: - Worked at home: - 65 years and over,Margin of Error; Total: - Worked at home: - 65 years and over
1400000US12086000107,12086000107,"Census Tract 1.07, Miami-Dade County, Florida",1283,333,0,13,71,76,611,202,362,179,45,73,41,43,153,93,921,260,0,13,46,67,457,177,179,114,45,73,41,43,153,93,180,192,0,13,0,13,39,37,141,191,0,13,0,13,0,13,11,18,0,13,0,13,11,18,0,13,0,13,0,13,0,13,9,20,0,13,0,13,0,13,9,20,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,162,105,0,13,25,39,104,74,33,38,0,13,0,13,0,13
1400000US12086000109,12086000109,"Census Tract 1.09, Miami-Dade County, Florida",1649,275,36,32,238,147,788,173,288,114,160,124,64,57,75,61,1320,233,20,24,158,104,674,174,209,90,125,100,59,56,75,61,54,50,0,13,0,13,36,44,9,14,9,16,0,13,0,13,147,90,16,21,36,44,43,51,26,27,26,42,0,13,0,13,10,18,0,13,10,18,0,13,0,13,0,13,0,13,0,13,57,62,0,13,8,14,0,13,44,60,0,13,5,9,0,13,61,62,0,13,26,39,35,48,0,13,0,13,0,13,0,13
1400000US12086000113,12086000113,"Census Tract 1.13, Miami-Dade County, Florida",3164,507,0,19,59,74,1782,457,650,230,146,108,294,145,233,131,2563,474,0,19,59,74,1388,396,630,229,82,102,231,130,173,110,158,115,0,19,0,19,122,106,0,19,36,45,0,19,0,19,36,43,0,19,0,19,36,43,0,19,0,19,0,19,0,19,67,81,0,19,0,19,67,81,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,340,156,0,19,0,19,169,126,20,31,28,35,63,68,60,56
1400000US12086000115,12086000115,"Census Tract 1.15, Miami-Dade County, Florida",1415,362,25,28,16,20,718,239,409,172,140,132,26,13,81,55,1123,315,22,28,14,20,558,212,320,162,116,128,12,9,81,55,88,56,3,5,2,4,53,48,25,25,2,3,3,5,0,13,35,34,0,13,0,13,15,23,17,24,0,13,3,4,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,14,14,0,13,0,13,10,13,0,13,2,3,2,4,0,13,155,88,0,13,0,13,82,66,47,45,20,26,6,6,0,13
1400000US12086000118,12086000118,"Census Tract 1.18, Miami-Dade County, Florida",403,132,0,13,0,13,143,63,141,118,64,38,39,36,16,17,316,133,0,13,0,13,82,50,141,118,38,33,39,36,16,17,42,29,0,13,0,13,42,29,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,10,14,0,13,0,13,0,13,0,13,10,14,0,13,0,13,35,32,0,13,0,13,19,25,0,13,16,22,0,13,0,13
1400000US12086000119,12086000119,"Census Tract 1.19, Miami-Dade County, Florida",1537,373,0,13,78,124,935,264,278,151,36,61,131,100,79,92,1004,300,0,13,28,45,540,233,211,133,36,61,110,92,79,92,116,124,0,13,0,13,59,100,36,43,0,13,21,33,0,13,50,79,0,13,50,79,0,13,0,13,0,13,0,13,0,13,37,58,0,13,0,13,37,58,0,13,0,13,0,13,0,13,70,114,0,13,0,13,70,114,0,13,0,13,0,13,0,13,260,162,0,13,0,13,229,159,31,49,0,13,0,13,0,13
1400000US12086000120,12086000120,"Census Tract 1.20, Miami-Dade County, Florida",2215,267,45,55,101,62,876,195,632,166,264,103,140,67,157,61,1776,247,45,55,88,61,739,177,496,135,185,94,103,50,120,53,101,78,0,13,0,13,19,30,39,25,25,26,18,31,0,13,12,18,0,13,0,13,0,13,0,13,12,18,0,13,0,13,52,50,0,13,13,20,0,13,31,45,8,14,0,13,0,13,44,38,0,13,0,13,9,14,8,13,0,13,0,13,27,29,230,120,0,13,0,13,109,95,58,73,34,45,19,30,10,16
1400000US12086000121,12086000121,"Census Tract 1.21, Miami-Dade County, Florida",495,175,0,13,0,13,178,102,42,38,50,34,14,17,211,114,313,122,0,13,0,13,159,96,22,21,42,32,14,17,76,61,13,20,0,13,0,13,0,13,0,13,0,13,0,13,13,20,6,12,0,13,0,13,0,13,0,13,0,13,0,13,6,12,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,163,119,0,13,0,13,19,30,20,32,8,11,0,13,116,95
1400000US12086000122,12086000122,"Census Tract 1.22, Miami-Dade County, Florida",1252,383,0,13,130,117,438,295,318,168,152,94,93,89,121,81,1069,361,0,13,130,117,380,280,278,174,104,79,93,89,84,68,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,40,46,0,13,0,13,0,13,21,34,0,13,0,13,19,30,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,20,32,0,13,0,13,20,32,0,13,0,13,0,13,0,13,123,100,0,13,0,13,38,63,19,30,48,54,0,13,18,29
