Origin_Zone,Destination_Zone,Start_Date,End_Date,Aggregation,Subscriber_Class,Purpose,Time_of_Day,Count
14,11,20150401,20150430,WD,Resident,HBO,H07:H10,2273.11
11,34,20150401,20150430,WD,Resident,HBO,H07:H10,283.50
24,11,20150401,20150430,WD,Resident,NHB,H16:H19,336.66
10,2,20150401,20150430,WD,Resident,NHB,H16:H19,3715.68
11,20,20150401,20150430,WD,Resident,HBW,H07:H10,1644.29
2,17,20150401,20150430,WD,Visitor,NHB,H16:H19,1363.58
7,16,20150401,20150430,WD,Visitor,NHB,H07:H10,286.51
20,4,20150401,20150430,WD,Resident,HBW,H16:H19,141.82
31,17,20150401,20150430,WD,Resident,HBO,H16:H19,452.07
22,17,20150401,20150430,WD,Resident,HBW,H07:H10,295.65
11,11,20150401,20150430,WD,Resident,HBO,H16:H19,74657.05
11,14,20150401,20150430,WD,Resident,NHB,H16:H19,5647.25
14,15,20150401,20150430,WD,Resident,NHB,H16:H19,6975.76
10,13,20150401,20150430,WD,Visitor,NHB,H16:H19,1126.75
9,20,20150401,20150430,WD,Resident,HBW,H07:H10,451.80
20,9,20150401,20150430,WD,Resident,HBW,H16:H19,227.68
9,16,20150401,20150430,WD,Resident,HBW,H16:H19,816.45
9,17,20150401,20150430,WD,Resident,NHB,H16:H19,3819.45
17,13,20150401,20150430,WD,Resident,HBO,H16:H19,1018.17
9,17,20150401,20150430,WD,Resident,HBW,H07:H10,2316.07
17,9,20150401,20150430,WD,Resident,HBW,H16:H19,1629.48
9,9,20150401,20150430,WD,Resident,HBO,H16:H19,6020.32
4,8,20150401,20150430,WD,Resident,HBW,H07:H10,566.88
13,10,20150401,20150430,WD,Resident,HBO,H07:H10,1103.03
10,12,20150401,20150430,WD,Resident,NHB,H07:H10,542.87
12,10,20150401,20150430,WD,Resident,NHB,H07:H10,509.00
12,11,20150401,20150430,WD,Resident,NHB,H16:H19,4290.66
11,10,20150401,20150430,WD,Resident,NHB,H16:H19,5450.07
5,4,20150401,20150430,WD,Resident,NHB,H07:H10,1092.79
17,9,20150401,20150430,WD,Resident,NHB,H16:H19,4460.84
8,15,20150401,20150430,WD,Resident,HBO,H07:H10,371.45
15,8,20150401,20150430,WD,Resident,HBO,H07:H10,400.39
11,17,20150401,20150430,WD,Resident,NHB,H16:H19,1646.64
3,3,20150401,20150430,WD,Resident,HBO,H07:H10,3769.52
3,6,20150401,20150430,WD,Resident,HBO,H07:H10,440.56
31,14,20150401,20150430,WD,Resident,NHB,H16:H19,368.70
14,3,20150401,20150430,WD,Resident,HBO,H16:H19,240.34
11,11,20150401,20150430,WD,Resident,HBW,H07:H10,27873.68
16,15,20150401,20150430,WD,Resident,HBW,H07:H10,1765.12
37,37,20150401,20150430,WD,Resident,HBO,H07:H10,490.05
15,15,20150401,20150430,WD,Resident,NHB,H16:H19,16660.34
16,14,20150401,20150430,WD,Resident,NHB,H07:H10,3192.35
14,9,20150401,20150430,WD,Resident,NHB,H07:H10,584.63
9,17,20150401,20150430,WD,Resident,NHB,H07:H10,2741.24
17,6,20150401,20150430,WD,Resident,NHB,H16:H19,1720.93
3,17,20150401,20150430,WD,Resident,HBO,H16:H19,121.63
13,13,20150401,20150430,WD,Resident,HBO,H07:H10,4539.93
11,11,20150401,20150430,WD,Resident,HBO,H07:H10,69922.82
14,14,20150401,20150430,WD,Visitor,NHB,H16:H19,7020.69
5,15,20150401,20150430,WD,Resident,HBO,H07:H10,352.23
6,6,20150401,20150430,WD,Resident,HBO,H16:H19,10727.37
1,10,20150401,20150430,WD,Resident,HBO,H07:H10,78.46
11,11,20150401,20150430,WD,Resident,NHB,H16:H19,42535.14
15,9,20150401,20150430,WD,Resident,NHB,H07:H10,754.38
9,6,20150401,20150430,WD,Resident,NHB,H16:H19,1080.47
10,10,20150401,20150430,WD,Visitor,NHB,H07:H10,9405.46
9,1,20150401,20150430,WD,Resident,NHB,H16:H19,194.35
2,2,20150401,20150430,WD,Visitor,NHB,H16:H19,22137.60
8,7,20150401,20150430,WD,Resident,HBW,H07:H10,978.57
8,8,20150401,20150430,WD,Resident,HBO,H16:H19,4553.32
15,16,20150401,20150430,WD,Resident,NHB,H16:H19,5002.74
11,14,20150401,20150430,WD,Resident,HBO,H07:H10,5262.29
3,4,20150401,20150430,WD,Resident,HBO,H07:H10,1486.78
24,24,20150401,20150430,WD,Visitor,NHB,H07:H10,561.78
36,17,20150401,20150430,WD,Resident,HBO,H07:H10,200.35
3,5,20150401,20150430,WD,Visitor,NHB,H16:H19,586.39
6,7,20150401,20150430,WD,Resident,HBW,H07:H10,2143.03
17,17,20150401,20150430,WD,Visitor,NHB,H16:H19,3509.12
4,7,20150401,20150430,WD,Resident,HBW,H07:H10,930.66
7,4,20150401,20150430,WD,Resident,HBW,H16:H19,741.39
6,15,20150401,20150430,WD,Resident,HBW,H07:H10,1922.08
15,14,20150401,20150430,WD,Resident,NHB,H16:H19,2216.66
14,25,20150401,20150430,WD,Resident,NHB,H07:H10,302.00
17,17,20150401,20150430,WD,Resident,HBO,H16:H19,14366.15
15,17,20150401,20150430,WD,Resident,HBW,H07:H10,4786.15
17,17,20150401,20150430,WD,Resident,NHB,H16:H19,13484.48
17,15,20150401,20150430,WD,Resident,NHB,H16:H19,4637.46
7,15,20150401,20150430,WD,Resident,HBO,H07:H10,893.76
18,14,20150401,20150430,WD,Resident,NHB,H16:H19,18.33
6,3,20150401,20150430,WD,Resident,NHB,H07:H10,283.58
17,11,20150401,20150430,WD,Resident,HBO,H07:H10,1244.14
6,7,20150401,20150430,WD,Resident,NHB,H16:H19,1617.24
9,7,20150401,20150430,WD,Resident,HBO,H16:H19,1431.63
15,15,20150401,20150430,WD,Resident,NHB,H07:H10,11831.58
2,10,20150401,20150430,WD,Resident,HBO,H16:H19,3672.26
10,11,20150401,20150430,WD,Resident,HBW,H07:H10,5196.57
16,15,20150401,20150430,WD,Resident,HBO,H16:H19,7251.91
12,12,20150401,20150430,WD,Resident,HBO,H16:H19,5117.53
11,23,20150401,20150430,WD,Resident,HBO,H07:H10,282.21
23,14,20150401,20150430,WD,Resident,NHB,H07:H10,137.55
14,11,20150401,20150430,WD,Resident,HBW,H16:H19,10327.29
16,15,20150401,20150430,WD,Resident,NHB,H07:H10,2880.14
17,16,20150401,20150430,WD,Resident,NHB,H16:H19,6292.12
39,11,20150401,20150430,WD,Resident,HBW,H16:H19,83.52
10,10,20150401,20150430,WD,Resident,HBO,H07:H10,35185.02
10,10,20150401,20150430,WD,Resident,HBO,H16:H19,35557.02
9,17,20150401,20150430,WD,Resident,HBO,H07:H10,1856.57
15,14,20150401,20150430,WD,Visitor,NHB,H07:H10,629.36
10,10,20150401,20150430,WD,Resident,HBW,H16:H19,7334.26
16,39,20150401,20150430,WD,Resident,HBO,H07:H10,114.13
39,16,20150401,20150430,WD,Resident,HBO,H07:H10,340.81
33,23,20150401,20150430,WD,Visitor,NHB,H16:H19,14.35
8,15,20150401,20150430,WD,Resident,HBO,H16:H19,524.70
15,8,20150401,20150430,WD,Resident,HBO,H16:H19,572.87
17,4,20150401,20150430,WD,Resident,HBO,H16:H19,485.19
4,17,20150401,20150430,WD,Resident,HBO,H16:H19,127.61
6,11,20150401,20150430,WD,Resident,HBW,H07:H10,212.01
5,7,20150401,20150430,WD,Resident,HBO,H16:H19,283.90
9,17,20150401,20150430,WD,Visitor,NHB,H07:H10,1197.10
9,16,20150401,20150430,WD,Visitor,NHB,H16:H19,188.09
2,10,20150401,20150430,WD,Resident,NHB,H16:H19,4897.71
15,6,20150401,20150430,WD,Resident,NHB,H16:H19,3182.38
3,3,20150401,20150430,WD,Visitor,NHB,H16:H19,1191.54
15,7,20150401,20150430,WD,Resident,HBO,H07:H10,1788.72
7,16,20150401,20150430,WD,Resident,NHB,H07:H10,1583.86
16,15,20150401,20150430,WD,Resident,HBO,H07:H10,2616.32
15,15,20150401,20150430,WD,Resident,HBO,H16:H19,24986.45
5,5,20150401,20150430,WD,Resident,HBO,H07:H10,8226.27
5,5,20150401,20150430,WD,Resident,NHB,H16:H19,5751.41
5,5,20150401,20150430,WD,Resident,HBO,H16:H19,8287.08
16,16,20150401,20150430,WD,Resident,HBO,H07:H10,11712.55
16,16,20150401,20150430,WD,Resident,HBO,H16:H19,11391.10
9,9,20150401,20150430,WD,Resident,HBO,H07:H10,5762.96
1,17,20150401,20150430,WD,Resident,NHB,H07:H10,207.75
16,10,20150401,20150430,WD,Resident,HBW,H16:H19,321.69
15,15,20150401,20150430,WD,Resident,HBO,H07:H10,24593.08
11,16,20150401,20150430,WD,Resident,HBW,H16:H19,759.66
25,11,20150401,20150430,WD,Resident,HBW,H16:H19,561.04
11,11,20150401,20150430,WD,Resident,NHB,H07:H10,29175.09
5,17,20150401,20150430,WD,Resident,HBW,H16:H19,63.43
14,7,20150401,20150430,WD,Resident,HBW,H16:H19,762.94
17,16,20150401,20150430,WD,Resident,HBW,H07:H10,1848.57
2,30,20150401,20150430,WD,Visitor,NHB,H16:H19,77.34
2,17,20150401,20150430,WD,Resident,HBW,H07:H10,715.07
17,2,20150401,20150430,WD,Resident,HBW,H16:H19,422.19
16,15,20150401,20150430,WD,Resident,HBW,H16:H19,4458.63
16,15,20150401,20150430,WD,Resident,NHB,H16:H19,7974.23
2,10,20150401,20150430,WD,Resident,HBW,H07:H10,2759.18
2,10,20150401,20150430,WD,Resident,HBW,H16:H19,3334.13
8,8,20150401,20150430,WD,Resident,HBO,H07:H10,5059.76
8,7,20150401,20150430,WD,Resident,NHB,H07:H10,1120.79
3,3,20150401,20150430,WD,Visitor,NHB,H07:H10,1399.90
2,2,20150401,20150430,WD,Resident,HBO,H07:H10,9574.10
16,11,20150401,20150430,WD,Resident,NHB,H16:H19,1347.90
17,11,20150401,20150430,WD,Resident,HBW,H07:H10,1511.55
24,17,20150401,20150430,WD,Resident,HBO,H16:H19,245.02
7,9,20150401,20150430,WD,Resident,HBO,H16:H19,1166.80
10,2,20150401,20150430,WD,Visitor,NHB,H16:H19,7704.47
21,2,20150401,20150430,WD,Visitor,NHB,H16:H19,1201.89
15,8,20150401,20150430,WD,Resident,NHB,H07:H10,393.39
8,15,20150401,20150430,WD,Resident,NHB,H16:H19,582.14
11,11,20150401,20150430,WD,Resident,HBW,H16:H19,21628.35
15,13,20150401,20150430,WD,Resident,HBW,H16:H19,106.37
13,15,20150401,20150430,WD,Resident,HBW,H16:H19,504.23
10,10,20150401,20150430,WD,Resident,HBW,H07:H10,10622.08
2,2,20150401,20150430,WD,Resident,HBO,H16:H19,8261.62
21,13,20150401,20150430,WD,Visitor,NHB,H16:H19,302.29
9,11,20150401,20150430,WD,Visitor,NHB,H07:H10,198.30
2,2,20150401,20150430,WD,Resident,NHB,H07:H10,4056.50
14,10,20150401,20150430,WD,Visitor,NHB,H16:H19,1159.55
16,14,20150401,20150430,WD,Visitor,NHB,H16:H19,692.10
18,18,20150401,20150430,WD,Resident,HBO,H07:H10,1326.59
7,17,20150401,20150430,WD,Resident,HBW,H07:H10,1513.95
17,7,20150401,20150430,WD,Resident,HBW,H16:H19,1107.94
10,11,20150401,20150430,WD,Visitor,NHB,H16:H19,1989.68
1,11,20150401,20150430,WD,Resident,HBW,H16:H19,187.23
25,11,20150401,20150430,WD,Resident,HBW,H07:H10,259.69
11,25,20150401,20150430,WD,Resident,HBW,H16:H19,318.22
11,11,20150401,20150430,WD,Visitor,NHB,H07:H10,7561.16
13,14,20150401,20150430,WD,Resident,NHB,H16:H19,811.71
10,10,20150401,20150430,WD,Resident,NHB,H16:H19,19173.18
14,4,20150401,20150430,WD,Visitor,NHB,H16:H19,290.08
12,14,20150401,20150430,WD,Resident,HBW,H07:H10,1879.44
13,16,20150401,20150430,WD,Resident,HBO,H07:H10,289.62
10,20,20150401,20150430,WD,Resident,NHB,H07:H10,821.53
20,10,20150401,20150430,WD,Resident,NHB,H16:H19,1322.90
16,38,20150401,20150430,WD,Visitor,NHB,H07:H10,17.38
16,17,20150401,20150430,WD,Visitor,NHB,H16:H19,463.14
2,13,20150401,20150430,WD,Resident,NHB,H07:H10,789.05
2,13,20150401,20150430,WD,Resident,NHB,H16:H19,1535.26
13,2,20150401,20150430,WD,Resident,NHB,H16:H19,1450.04
9,7,20150401,20150430,WD,Resident,HBO,H07:H10,895.01
7,31,20150401,20150430,WD,Resident,NHB,H16:H19,29.79
31,20,20150401,20150430,WD,Resident,NHB,H16:H19,21.04
11,10,20150401,20150430,WD,Resident,HBO,H16:H19,8392.17
2,2,20150401,20150430,WD,Resident,HBW,H07:H10,3520.16
16,9,20150401,20150430,WD,Resident,NHB,H07:H10,1296.92
16,16,20150401,20150430,WD,Resident,HBW,H16:H19,1221.38
16,2,20150401,20150430,WD,Visitor,NHB,H16:H19,136.45
17,25,20150401,20150430,WD,Resident,NHB,H16:H19,660.51
25,11,20150401,20150430,WD,Resident,HBO,H16:H19,782.71
2,20,20150401,20150430,WD,Resident,NHB,H07:H10,302.07
20,17,20150401,20150430,WD,Resident,NHB,H16:H19,1508.39
8,20,20150401,20150430,WD,Resident,NHB,H07:H10,86.67
20,8,20150401,20150430,WD,Resident,NHB,H16:H19,175.93
14,13,20150401,20150430,WD,Resident,HBW,H16:H19,655.29
13,2,20150401,20150430,WD,Visitor,NHB,H07:H10,1276.86
15,24,20150401,20150430,WD,Resident,NHB,H07:H10,183.05
24,17,20150401,20150430,WD,Resident,NHB,H16:H19,162.64
17,20,20150401,20150430,WD,Resident,NHB,H16:H19,378.38
16,9,20150401,20150430,WD,Resident,NHB,H16:H19,1269.76
11,10,20150401,20150430,WD,Resident,HBW,H07:H10,9510.14
24,18,20150401,20150430,WD,Visitor,NHB,H16:H19,92.24
17,14,20150401,20150430,WD,Resident,NHB,H07:H10,2062.97
16,17,20150401,20150430,WD,Resident,HBO,H07:H10,2840.10
