ROUTE,STOPNAME,TAZ_Distri
11,FIU UNIV CAMPUS SW 107 AV-17,16
11,SW 107 AV #1431,16
11,SW 107 AV # 1225,16
11,SW 107 AV # 917,16
11,SW 107 AV SW 6 ST,37
11,SW 107 AV SW 4 ST,37
11,W FLAGLER ST SW 107 AV,37
11,W FLAGLER ST SW 105 PL,37
11,W FLAGLER ST SW 103 AV,37
11,W FLAGLER ST SW 102 AV,37
11,W FLAGLER ST SW 99 CT,37
11,W FLAGLER ST SW 98 CT,37
11,W FLAGLER ST SW 97 AV,37
11,W FLAGLER ST # 9440,36
11,W FLAGLER ST # 9400,36
11,W FLAGLER ST # 9250,36
11,W FLAGLER ST SW 92 AV,36
11,W FLAGLER ST FONTAINEBLEAU B,36
11,W FLAGLER ST SW 87 AV,35
11,W FLAGLER ST SW 84 AV,35
11,W FLAGLER ST SW 82 AV,35
11,NW 79 AV W FLAGLER ST,34
11,MALL OF AMERICAS NW 79 AV,34
11,NW 79 AV # 444,34
11,NW 79 AV NW 2 ST,34
11,W FLAGLER ST SW 78 PL,34
11,W FLAGLER ST SW 78 AV,34
11,W FLAGLER ST SW 76 CT,34
11,W FLAGLER ST # 7400,34
11,W FLAGLER ST GRAND CANAL DR,34
11,W FLAGLER ST SW 72 AV,34
11,W FLAGLER ST SW 71 AV,34
11,W FLAGLER ST SW 69 AV,34
11,W FLAGLER ST SW 67 CT,34
11,W FLAGLER ST SW 67 AV,34
11,W FLAGLER ST SW 66 AV,33
11,W FLAGLER ST SW 64 CT,33
11,W FLAGLER ST SW 63 CT,33
11,W FLAGLER ST SW 62 CT,33
11,W FLAGLER ST SW 61 AV,33
11,W FLAGLER ST SW 60 AV,33
11,W FLAGLER ST SW 59 AV,33
11,W FLAGLER ST SW 58 AV,33
11,W FLAGLER ST SW 57 AV,32
11,W FLAGLER ST SW 56 AV,32
11,W FLAGLER ST SW 55 AV,32
11,W FLAGLER ST SW 52 CT,32
11,W FLAGLER ST SW 51 PL,32
11,W FLAGLER ST SW 50 AV,32
11,W FLAGLER ST SW 48 AV,32
11,W FLAGLER ST SW 47 AV,31
11,W FLAGLER ST SW 45 AV,31
11,W FLAGLER ST SW 44 AV,31
11,W FLAGLER ST SW 43 AV,31
11,W FLAGLER ST SW 41 AV,31
11,W FLAGLER ST SW 40 AV,31
11,W FLAGLER ST SW 38 CT,31
11,W FLAGLER ST SW 38 AV,31
11,W FLAGLER ST SW 37 AV,30
11,W FLAGLER ST SW 36 AV,30
11,W FLAGLER ST SW 34 AV,30
11,W FLAGLER ST SW 33 AV,30
11,W FLAGLER ST SW 32 AV,30
11,W FLAGLER ST SW 31 AV,30
11,W FLAGLER ST SW 30 AV,30
11,W FLAGLER ST SW 29 AV,30
11,W FLAGLER ST SW 27 AV,30
11,W FLAGLER ST # 2520,29
11,W FLAGLER ST # 2446,29
11,SW 1 ST SW 23 AV,29
11,SW 1 ST SW 21 AV,28
11,SW 1 ST SW 18 CT,28
11,SW 1 ST SW 18 AV,28
11,SW 1 ST SW 17 AV,27
11,SW 1 ST SW 15 AV,27
11,SW 1 ST SW 14 AV,27
11,SW 1 ST SW 13 AV,27
11,SW 1 ST SW 12 AV,26
11,SW 1 ST SW 11 AV,26
11,SW 1 ST SW 10 AV,26
11,SW 1 ST SW 9 AV,26
11,SW 1 ST SW 8 AV,26
11,SW 1 ST SW 6 AV,26
11,SW 1 ST SW 5 AV,26
11,SW 1 ST SW 1 CT,20
11,SE 1ST SE 1 AV,20
11,SE 1 ST SE 3 AV,20
11,NE 1 ST NE 3 AV,20
11,NE 1 ST NE 2 AV,20
11,NE 1 ST NE 1 AV,20
11,NW 1 ST N MIAMI AV,20
11,NW 1 ST NW 1 AV,20
11,NW 1 ST NW 1 AV,20
11,W FLAGLER ST NW 6 AV,26
11,W FLAGLER ST NW 7 AV,26
11,W FLAGLER ST NW 8 AV,26
11,W FLAGLER ST NW 9 AV,26
11,W FLAGLER ST NW 10 AV,26
11,W FLAGLER ST NW 12 AV,27
11,W FLAGLER ST NW 13 AV,27
11,W FLAGLER ST NW 15 AV,27
11,W FLAGLER ST NW 16 AV,27
11,W FLAGLER ST NW 17 CT,28
11,W FLAGLER ST NW 18 AV,28
11,W FLAGLER ST OP SW 20 AV,28
11,W FLAGLER ST NW 22 AV,28
11,W FLAGLER ST NW 23 AV,29
11,W FLAGLER ST NW 25 AV,29
11,W FLAGLER ST NW 27 AV,29
11,W FLAGLER ST # 2987,30
11,W FLAGLER ST NW 30 AV,30
11,W FLAGLER ST NW 31 AV,30
11,W FLAGLER ST NW 32 CT,30
11,W FLAGLER ST NW 33 AV,30
11,W FLAGLER ST NW 35 AV,30
11,W FLAGLER ST NW 36 CT,30
11,W FLAGLER ST NW 37 AV,31
11,W FLAGLER ST OP SW 38 AV,31
11,W FLAGLER ST NW 39 AV,31
11,W FLAGLER ST NW 40 AV,31
11,W FLAGLER ST NW 42 AV,31
11,W FLAGLER ST NW 43 AV,31
11,W FLAGLER ST NW 43 PL,31
11,W FLAGLER ST NW 45 AV,31
11,W FLAGLER ST NW 47 AV,31
11,W FLAGLER ST NW 48 AV,32
11,W FLAGLER ST NW 49 AV,32
11,W FLAGLER ST NW 51 AV,32
11,W FLAGLER ST NW 53 AV,32
11,W FLAGLER ST NW 55 AV,32
11,W FLAGLER ST NW 56 AV,32
11,W FLAGLER ST NW 57 AV,32
11,W FLAGLER ST NW 58 AV,33
11,W FLAGLER ST NW 59 AV,33
11,W FLAGLER ST NW 60 AV,33
11,W FLAGLER ST NW 61 AV,33
11,W FLAGLER ST NW 62 CT,33
11,W FLAGLER ST NW 64 AV,33
11,W FLAGLER ST NW 65 AV,33
11,W FLAGLER ST NW 67 CT,33
11,W FLAGLER ST NW 69 AV,33
11,W FLAGLER ST # 7167,33
11,W FLAGLER ST NW 72 AV,34
11,W FLAGLER ST NW 73 CT,34
11,W FLAGLER ST NW 74 AV,34
11,W FLAGLER ST NW 76 AV,34
11,NW 79 AV W FLAGLER ST,34
11,NW 79 AV NW 2 ST,34
11,MALL OF AMERICAS NW 79 A,34
11,MALL OF AMERICAS NW 79 AV,34
11,NW 79 AV # 444,34
11,W FLAGLER ST NW 79 AV,34
11,W FLAGLER ST NW 82 AV,35
11,W FLAGLER ST NW 84 AV,35
11,W FLAGLER ST NW 87 AV,35
11,W FLAGLER ST FONTAINEBLEAU B,36
11,W FLAGLER ST OP # 9250,36
11,W FLAGLER ST # 9301,36
11,W FLAGLER ST OP # 9420,36
11,W FLAGLER ST # 9501,36
11,W FLAGLER ST NW 97 AV,37
11,W FLAGLER ST OP SW 98 CT,37
11,W FLAGLER ST # 9925,37
11,W FLAGLER ST NW 102 AV,37
11,W FLAGLER ST OP SW 103 AV,37
11,W FLAGLER ST APPROX # 10501,37
11,SW 107 AV W FLAGLER ST,38
11,SW 107 AV SW 3 ST,38
11,SW 107 AV SW 5 ST,38
11,SW 107 AV SW 7 ST,38
11,SW 107 AV SW 11 ST,16
11,SW 107 AV SW 14 ST,16
11,FIU UNIV CAMPUS SW 107 A,16
11,FIU UNIV CAMPUS SW 107 AV-17,16
12,NORTHSIDE STA 3150 NW 79 ST,11
12,NW 79 ST NW 30 AV,11
12,NW 79 ST 2800 BLOCK,11
12,NW 79 ST NW 27 AV,11
12,NW 79 ST NW 25 AV,11
12,NW 79 ST NW 23 AV,11
12,NW 79 ST NW 22 AV,11
12,NW 22 AV NW 77 TE,11
12,NW 22 AV NW 75 ST,11
12,NW 22 AV NW 73 ST,11
12,NW 71 ST NW 22 AV,12
12,NW 71 ST NW 21 AV,12
12,NW 71 ST NW 19 AV,12
12,NW 71 ST NW 18 AV,12
12,NW 71 ST NW 17 AV,12
12,NW 71 ST NW 15 AV,12
12,NW 71 ST NW 14 AV,12
12,NW 71 ST NW 13 AV,12
12,NW 12 AV NW 70 ST,12
12,NW 12 AV NW 67 ST,12
12,NW 67 ST NW 13 AV,12
12,NW 14 AV NW 67 ST,12
12,NW 14 AV NW 63 ST,12
