"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","total"
3431.98,1469.07,43.54,75.12,42.17,149.06,132.22,222.06,1214.04,1275.18,924.79,380.21,678.35,563.2,412.86,248.41,2545.47,58.73,158.82,3271.16,17296.44
1215.74,67092.96,433.92,462.77,375.9,1002.34,1128.25,505.56,3100.75,31833.08,10586.23,2484.43,10067.18,5673.07,2052.54,1904.74,6906.88,3441.12,3526.43,25681.84,179475.73
41.29,484.9,15459.14,7844.12,6106.45,2670.52,2449.25,1654.65,722.3,214.91,1154.73,74.75,305.4,1608.55,1330.41,1974.62,1162.9,33.48,97.34,1374.62,46764.33
33.04,433.53,6952.86,23089.34,9673.41,6007.66,4316.17,3387.63,1318.03,363.14,1486.65,240.43,451.17,2239.95,2828.39,2385.55,2026.57,73.14,62.46,1980.04,69349.16
34.96,470.45,5476.41,9649.42,35527.26,4757.37,1852.3,1724.38,892.34,354.96,1231.43,136.93,503.68,1499.69,2707.14,1496.96,910.69,10.11,34.8,1024.44,70295.72
148.32,1022.5,3005.61,5788.6,4752.45,39741,10041.67,5744.39,3616.27,1093.1,2704.5,458.47,992.75,4749.41,14978.95,8095.49,5051.17,45.49,232.22,4857.67,117120.03
215.78,1003.55,1912.16,4209.16,1851.82,10028.94,25696.58,6471.25,7260.24,1046.22,2881.42,350.06,1081.97,3936.46,8883.25,10981.97,8643.69,75.89,224.04,5027.08,101781.53
124.35,515.03,1728.78,3409.17,1770.29,5911.49,6087.51,16254.06,4383.99,423.44,1198.89,250.41,720.92,2063.46,2772.63,3353.86,3652.16,66.65,153.91,2533.91,57374.91
1287.8,3194.65,725.07,1297.84,983.57,3565.83,7610.34,4094.12,27452.85,2729.41,3322.55,958.16,2929.19,2997.78,4402.6,6481.93,16872.03,210.08,628.83,11416.13,103160.76
956.71,31130.14,281.22,354.28,317.76,1165.77,1275.19,473.1,3334.16,142665.78,42681.34,6600.32,14600.94,6906.72,2270.2,2790.02,7565.6,7418.63,3032.76,21970.56,297791.2
1159.07,11532.96,1211.76,1416.78,1401.07,2775.26,3063.94,1380.7,4056.67,44021.9,281219.88,22538.54,12618.9,42448.18,7833.15,9087.82,13290.15,1388.25,2193.11,28923.66,493561.75
356.53,2474.25,75.3,307.84,175.56,715.63,528.85,175.8,1089.75,6509.7,22564.1,16149.71,4437.28,6628.54,1093.89,1301.63,3351.25,46.35,481.83,8378.04,76841.83
711.41,10162.41,325.09,299.03,465.58,1152.24,1214.39,785.62,3217.79,13377.91,12583.04,3893.96,14442.98,5165.17,2417.42,2401.73,7784.62,235.07,638.82,13068.61,94342.89
750.19,7399.25,1785.24,2688.92,1947.06,5283.5,4254.1,2182.42,3637.28,7278.08,41967.07,6020.56,4997.73,68193.57,21455.74,14519.95,12655.59,483.35,635.75,36088.36,244223.71
491.15,2555.92,1480.63,2724.49,2961.47,15834.48,9225.01,2751.47,4142.12,2071.44,8021.57,1204.46,2502.1,20677.44,91359.63,28996.06,14638.68,59.68,574.55,18823.92,231096.27
310.98,2067.96,1759.76,2097.13,1466.35,7466.46,9354.99,3148.39,6151.76,2471.22,7539.32,1428.21,2373.74,14572.04,27975.11,41972.13,19315.21,88.89,469.6,16220.58,168249.83
2833.45,6931.24,1289.7,2212.3,981.12,5116.86,8673.72,3657.4,17378.02,7075.28,12690.04,2989.27,7308.11,12044.9,13538.52,19679.43,67145.06,206.55,1295.47,32553.28,225599.72
59.97,4251.46,NA,42.44,35.72,60.34,34.57,62.15,127.03,6842.53,1160.09,74.64,225.17,296.81,66.7,107.51,233.54,5169.65,91.41,730.59,NA
127.26,2814.2,111.9,61.33,18.83,207.66,163.28,121.03,519.91,2546.87,1812.13,453.98,511.76,457.5,345.24,324.2,1165.81,79.97,2579.72,2122.96,16545.54
2773.64,24727.01,1530.64,2494.5,1130.6,4675.66,5759,2550.64,10519.29,19737.23,27082.15,7409.24,12131.86,33247.6,18975.8,16630.44,32171.48,625.63,1617.08,88845.32,314634.81
17063.62,181733.44,NA,70524.58,71984.44,118288.07,102861.33,57346.82,104134.59,293931.38,484811.92,74096.74,93881.18,235970.04,227700.17,174734.45,227088.55,19816.71,18728.95,324892.77,NA
