"Origin_Zone","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
1,3431.98,1469.07,43.54,75.12,42.17,149.06,132.22,222.06,1214.04,1275.18,924.79,380.21,678.35,563.2,412.86,248.41,2545.47,58.73,158.82,412.39,780.09,60.02,101.96,736.75,223.53,327.38,195.39,37.75,23.21,56.43,144.46,51.29,5.4,20.61,8.45,47.95,NA,9.11,10.8,18.19
2,1215.74,67092.96,433.92,462.77,375.9,1002.34,1128.25,505.56,3100.75,31833.08,10586.23,2484.43,10067.18,5673.07,2052.54,1904.74,6906.88,3441.12,3526.43,3407.54,3672.82,398.89,907.56,9444.89,1981.83,917.48,1311.44,194.27,287.53,548.7,833.48,130.78,145.69,386.98,228.93,377.17,88.44,75.71,240.78,100.93
3,41.29,484.9,15459.14,7844.12,6106.45,2670.52,2449.25,1654.65,722.3,214.91,1154.73,74.75,305.4,1608.55,1330.41,1974.62,1162.9,33.48,97.34,200.58,51.6,12.12,39.67,459.66,120.19,NA,24.95,NA,23.36,71.94,79.95,15.67,8.85,54.31,37.64,39.03,22.5,20.63,74.21,17.76
4,33.04,433.53,6952.86,23089.34,9673.41,6007.66,4316.17,3387.63,1318.03,363.14,1486.65,240.43,451.17,2239.95,2828.39,2385.55,2026.57,73.14,62.46,233.15,130.92,13.2,70.39,295.87,318.75,69.14,19.09,16.6,21.05,58.39,136.79,23.07,28.7,134.67,4.66,95.42,25.62,85.18,170.19,29.19
5,34.96,470.45,5476.41,9649.42,35527.26,4757.37,1852.3,1724.38,892.34,354.96,1231.43,136.93,503.68,1499.69,2707.14,1496.96,910.69,10.11,34.8,87.73,51.7,21.38,14.45,235.74,119.67,38.55,30.64,14.3,11.35,27.59,61,17.83,30.02,50.36,19.7,37.33,13.19,12,110.65,19.26
6,148.32,1022.5,3005.61,5788.6,4752.45,39741,10041.67,5744.39,3616.27,1093.1,2704.5,458.47,992.75,4749.41,14978.95,8095.49,5051.17,45.49,232.22,900.01,445.17,100.36,228.53,443.23,464.64,185.46,197.05,7.7,63.11,103.8,174.11,64.62,98.86,277.43,150.37,202.86,145.13,139.26,320.33,145.64
7,215.78,1003.55,1912.16,4209.16,1851.82,10028.94,25696.58,6471.25,7260.24,1046.22,2881.42,350.06,1081.97,3936.46,8883.25,10981.97,8643.69,75.89,224.04,895.43,610.55,109.35,68.9,683.1,422.49,154.42,31.68,31.84,11.91,220.14,253.87,62.29,108.19,272.83,180.31,376.84,57.28,75.84,279.21,120.61
8,124.35,515.03,1728.78,3409.17,1770.29,5911.49,6087.51,16254.06,4383.99,423.44,1198.89,250.41,720.92,2063.46,2772.63,3353.86,3652.16,66.65,153.91,434.18,437.73,10.38,67.07,273.41,337.4,51.72,47.15,6.13,35.9,95.79,113.7,34.25,35.86,81.87,68.32,162.93,37.49,25.54,64.77,112.32
9,1287.8,3194.65,725.07,1297.84,983.57,3565.83,7610.34,4094.12,27452.85,2729.41,3322.55,958.16,2929.19,2997.78,4402.6,6481.93,16872.03,210.08,628.83,1629.92,2145.48,504.34,403.73,1458.6,693.82,531.9,421.03,155.61,445.47,494.76,729.27,223,205.47,315.65,266.15,321.33,74.04,92.12,140.84,163.6
10,956.71,31130.14,281.22,354.28,317.76,1165.77,1275.19,473.1,3334.16,142665.78,42681.34,6600.32,14600.94,6906.72,2270.2,2790.02,7565.6,7418.63,3032.76,5449.57,4300.3,332.21,944.43,3625.22,1631.86,1254.04,1276.96,197.54,484.91,448.03,519.45,104.88,127.71,171.16,319.94,201.52,103.43,107.97,243.22,126.21
11,1159.07,11532.96,1211.76,1416.78,1401.07,2775.26,3063.94,1380.7,4056.67,44021.9,281219.88,22538.54,12618.9,42448.18,7833.15,9087.82,13290.15,1388.25,2193.11,4166.24,2666.01,796.98,1175.12,3396.33,3227.93,1394.48,1200.77,273.86,715.55,1054.76,2362.5,344.74,551.97,1443.61,790.87,1112.59,370.93,395.71,951.82,530.89
12,356.53,2474.25,75.3,307.84,175.56,715.63,528.85,175.8,1089.75,6509.7,22564.1,16149.71,4437.28,6628.54,1093.89,1301.63,3351.25,46.35,481.83,1122,561.17,388.61,494.76,1080.04,917.47,479.21,302.54,77.89,409.03,441.91,585.03,239.3,77.37,402.44,147.39,206.56,107.28,68.56,174.51,94.97
13,711.41,10162.41,325.09,299.03,465.58,1152.24,1214.39,785.62,3217.79,13377.91,12583.04,3893.96,14442.98,5165.17,2417.42,2401.73,7784.62,235.07,638.82,1476.54,2356.17,279.1,503.58,1724.67,1301.1,804.44,302.43,256.53,473.7,636.74,826.87,274.33,325.25,355.68,263.3,344.39,59.64,92.12,205.82,206.21
14,750.19,7399.25,1785.24,2688.92,1947.06,5283.5,4254.1,2182.42,3637.28,7278.08,41967.07,6020.56,4997.73,68193.57,21455.74,14519.95,12655.59,483.35,635.75,1476.05,2603.5,1072.38,741.24,7155.02,3775.62,639.55,881.53,287.83,619.02,994.68,1941.2,910.13,864.11,2071.66,1362.18,2611.86,731.94,1059.03,2495.56,1794.27
